entity,state,year,births_15_44,source_url,source_table
New Hampshire,33,2008,13683,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Jersey,34,2008,112710,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Mexico,35,2008,30173,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New York,36,2008,250383,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Carolina,37,2008,130839,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Dakota,38,2008,8938,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Ohio,39,2008,148821,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oklahoma,40,2008,54781,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oregon,41,2008,49096,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Pennsylvania,42,2008,149273,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Rhode Island,44,2008,12048,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Carolina,45,2008,63071,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Dakota,46,2008,12071,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2008,85560,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2008,405554,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2008,55634,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2008,6339,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2008,106686,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2008,90321,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2008,21501,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2008,72261,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2008,8038,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2009,62475,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2009,11324,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arizona,04,2009,92798,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2009,39808,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2009,527020,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2009,68628,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2009,38896,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2009,11559,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2009,9040,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2009,221394,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2009,141377,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2009,18887,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2009,23737,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2009,171163,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Indiana,18,2009,86673,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Iowa,19,2009,39701,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kansas,20,2009,41396,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kentucky,21,2009,57551,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Louisiana,22,2009,64973,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maine,23,2009,13470,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maryland,24,2009,75059,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Massachusetts,25,2009,75016,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Michigan,26,2009,117294,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Minnesota,27,2009,70646,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Mississippi,28,2009,42901,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Missouri,29,2009,78905,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Montana,30,2009,12257,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nebraska,31,2009,26936,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nevada,32,2009,37612,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Hampshire,33,2009,13377,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Jersey,34,2009,110331,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Mexico,35,2009,29000,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New York,36,2009,248110,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Carolina,37,2009,126845,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Dakota,38,2009,9001,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Ohio,39,2009,144841,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oklahoma,40,2009,54553,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oregon,41,2009,47132,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Pennsylvania,42,2009,146434,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Rhode Island,44,2009,11442,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Carolina,45,2009,60620,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Dakota,46,2009,11934,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2009,82211,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2009,401977,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2009,53887,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2009,6110,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2009,105059,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2009,89313,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2009,21268,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2009,70843,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2009,7881,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2010,60050,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2010,11471,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
