country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44
United States,Kentucky,21,2009,all,all,57551.0,863624.0,66.63895398923606
United States,Louisiana,22,2009,all,all,64973.0,930761.0,69.80631977489388
United States,Maine,23,2009,all,all,13470.0,245825.0,54.79507779924743
United States,Maryland,24,2009,all,all,75059.0,1175996.0,63.82589736699784
United States,Massachusetts,25,2009,all,all,75016.0,1355976.0,55.32251308282742
United States,Michigan,26,2009,all,all,117294.0,1962712.0,59.761187581265105
United States,Minnesota,27,2009,all,all,70646.0,1046457.0,67.5097017842109
United States,Mississippi,28,2009,all,all,42901.0,605338.0,70.87114967175363
United States,Missouri,29,2009,all,all,78905.0,1191447.0,66.22619386342825
United States,Montana,30,2009,all,all,12257.0,182280.0,67.24270353302612
United States,Nebraska,31,2009,all,all,26936.0,352708.0,76.36912119940574
United States,Nevada,32,2009,all,all,37612.0,528202.0,71.20760618096865
United States,New Hampshire,33,2009,all,all,13377.0,257673.0,51.91463599212956
United States,New Jersey,34,2009,all,all,110331.0,1711165.0,64.47712523339362
United States,New Mexico,35,2009,all,all,29000.0,395285.0,73.36478743185297
United States,New York,36,2009,all,all,248110.0,4022533.0,61.6800409095463
United States,North Carolina,37,2009,all,all,126845.0,1912539.0,66.32283054097198
United States,North Dakota,38,2009,all,all,9001.0,127149.0,70.7909617849924
United States,Ohio,39,2009,all,all,144841.0,2270612.0,63.78941007974942
United States,Oklahoma,40,2009,all,all,54553.0,729110.0,74.82135754550067
United States,Oregon,41,2009,all,all,47132.0,754824.0,62.44104585969709
United States,Pennsylvania,42,2009,all,all,146434.0,2437535.0,60.07462456949336
United States,Rhode Island,44,2009,all,all,11442.0,213399.0,53.617870749160026
United States,South Carolina,45,2009,all,all,60620.0,914438.0,66.29208322488786
United States,South Dakota,46,2009,all,all,11934.0,153504.0,77.7439024390244
United States,Tennessee,47,2009,all,all,82211.0,1270018.0,64.7321534025502
United States,Texas,48,2009,all,all,401977.0,5182835.0,77.55928946223447
United States,Utah,49,2009,all,all,53887.0,609295.0,88.44155950729942
United States,Vermont,50,2009,all,all,6110.0,120186.0,50.83786797131114
United States,Virginia,51,2009,all,all,105059.0,1632043.0,64.37269116071084
United States,Washington,53,2009,all,all,89313.0,1345084.0,66.39957058443933
United States,West Virginia,54,2009,all,all,21268.0,344474.0,61.74050871763907
United States,Wisconsin,55,2009,all,all,70843.0,1111789.0,63.71982453505117
United States,Wyoming,56,2009,all,all,7881.0,105064.0,75.01142160968551
United States,Alabama,01,2010,all,all,60050.0,958387.0,62.657360753015226
United States,Alaska,02,2010,all,all,11471.0,140950.0,81.38346931536006
United States,Arizona,04,2010,all,all,87477.0,1260823.0,69.38087265222795
United States,Arkansas,05,2010,all,all,38540.0,569533.0,67.66947657115567
United States,California,06,2010,all,all,510198.0,7866929.0,64.85351526624939
United States,Colorado,08,2010,all,all,66355.0,1023504.0,64.83120730353765
United States,Connecticut,09,2010,all,all,37708.0,691424.0,54.536724209746836
United States,Delaware,10,2010,all,all,11364.0,178514.0,63.658872693458214
United States,District of Columbia,11,2010,all,all,9165.0,162793.0,56.29848949279146
United States,Florida,12,2010,all,all,214590.0,3553835.0,60.38265704513575
United States,Georgia,13,2010,all,all,133947.0,2065974.0,64.83479462955486
United States,Hawaii,15,2010,all,all,18988.0,256943.0,73.8996586791623
United States,Idaho,16,2010,all,all,23198.0,305827.0,75.85334192206705
United States,Illinois,17,2010,all,all,165200.0,2624134.0,62.95410219142772
United States,Indiana,18,2010,all,all,83940.0,1286994.0,65.22174928554446
United States,Iowa,19,2010,all,all,38719.0,576835.0,67.12318080560298
United States,Kansas,20,2010,all,all,40649.0,553099.0,73.49317210842905
United States,Kentucky,21,2010,all,all,55784.0,853956.0,65.32420874143398
United States,Louisiana,22,2010,all,all,62379.0,926732.0,67.31072197787493
United States,Maine,23,2010,all,all,12970.0,240866.0,53.8473674159076
United States,Maryland,24,2010,all,all,73801.0,1189270.0,62.055714850286314
United States,Massachusetts,25,2010,all,all,72865.0,1353520.0,53.8337076659377
United States,Michigan,26,2010,all,all,114531.0,1913502.0,59.85413132570543
United States,Minnesota,27,2010,all,all,68610.0,1044566.0,65.682781174191
United States,Mississippi,28,2010,all,all,40036.0,601799.0,66.52719595745424
United States,Missouri,29,2010,all,all,76759.0,1173864.0,65.39002814636108
United States,Montana,30,2010,all,all,12060.0,179324.0,67.25257076576476
United States,Nebraska,31,2010,all,all,25918.0,354218.0,73.16963000186325
United States,Nevada,32,2010,all,all,35934.0,547651.0,65.6147802158674
United States,New Hampshire,33,2010,all,all,12874.0,249484.0,51.60250757563611
United States,New Jersey,34,2010,all,all,106922.0,1735099.0,61.622996728140585
United States,New Mexico,35,2010,all,all,27850.0,397629.0,70.04016306657714
United States,New York,36,2010,all,all,244375.0,4042471.0,60.45188697704943
United States,North Carolina,37,2010,all,all,122350.0,1941487.0,63.0187067953584
United States,North Dakota,38,2010,all,all,9104.0,128361.0,70.92496942217652
United States,Ohio,39,2010,all,all,139128.0,2231669.0,62.34257858132187
United States,Oklahoma,40,2010,all,all,53238.0,734697.0,72.46252536760052
United States,Oregon,41,2010,all,all,45540.0,754423.0,60.364013292277676
United States,Pennsylvania,42,2010,all,all,143321.0,2439749.0,58.74415769818944
United States,Rhode Island,44,2010,all,all,11177.0,214119.0,52.199944890458106
United States,South Carolina,45,2010,all,all,58342.0,921992.0,63.278206318493
United States,South Dakota,46,2010,all,all,11811.0,152018.0,77.69474667473588
United States,Tennessee,47,2010,all,all,79495.0,1272096.0,62.49135285387267
United States,Texas,48,2010,all,all,386118.0,5322420.0,72.54557137542697
United States,Utah,49,2010,all,all,52258.0,603344.0,86.61393831711263
United States,Vermont,50,2010,all,all,6223.0,118062.0,52.70959326455591
United States,Virginia,51,2010,all,all,103002.0,1632522.0,63.093789853980525
United States,Washington,53,2010,all,all,86539.0,1351925.0,64.011687038852
United States,West Virginia,54,2010,all,all,20470.0,341654.0,59.91441633933746
United States,Wisconsin,55,2010,all,all,68487.0,1095634.0,62.50901304632751
United States,Wyoming,56,2010,all,all,7556.0,106230.0,71.12868304622047
United States,Alabama,01,2011,all,all,59354.0,956950.0,62.0241391922253
United States,Alaska,02,2011,all,all,11456.0,142513.0,80.38564902850969
United States,Arizona,04,2011,all,all,85543.0,1269384.0,67.38937941552753
United States,Arkansas,05,2011,all,all,38715.0,572242.0,67.65494318837136
United States,California,06,2011,all,all,502120.0,7906241.0,63.509321307053504
United States,Colorado,08,2011,all,all,65055.0,1037195.0,62.7220532301062
United States,Connecticut,09,2011,all,all,37281.0,688816.0,54.123307240249936
United States,Delaware,10,2011,all,all,11257.0,178655.0,63.009711455039046
United States,District of Columbia,11,2011,all,all,9295.0,166682.0,55.764869631993854
United States,Florida,12,2011,all,all,213414.0,3571276.0,59.75847288196152
United States,Georgia,13,2011,all,all,132409.0,2067629.0,64.03905149328047
United States,Hawaii,15,2011,all,all,18956.0,258623.0,73.29587855681822
United States,Idaho,16,2011,all,all,22305.0,307549.0,72.52502853203879
United States,Illinois,17,2011,all,all,161312.0,2617791.0,61.62142050301189
United States,Indiana,18,2011,all,all,83701.0,1287251.0,65.02306077058786
United States,Iowa,19,2011,all,all,38214.0,579227.0,65.97413449303987
United States,Kansas,20,2011,all,all,39642.0,553769.0,71.58580563375703
United States,Kentucky,21,2011,all,all,55370.0,853645.0,64.86302854230973
United States,Louisiana,22,2011,all,all,61888.0,930158.0,66.5349327748619
United States,Maine,23,2011,all,all,12704.0,238875.0,53.18262689691261
United States,Maryland,24,2011,all,all,73093.0,1190910.0,61.37575467499643
United States,Massachusetts,25,2011,all,all,73166.0,1356419.0,53.94055966482333
United States,Michigan,26,2011,all,all,114008.0,1904716.0,59.85564252098476
United States,Minnesota,27,2011,all,all,68409.0,1044775.0,65.47725586848843
United States,Mississippi,28,2011,all,all,39860.0,601092.0,66.31264432066972
United States,Missouri,29,2011,all,all,76117.0,1172084.0,64.94159121701175
United States,Montana,30,2011,all,all,12069.0,180516.0,66.858339426976
