country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,04,Arizona,2010,36,35_39,unmarried,all,14424.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,37,35_39,married,all,27609.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,37,35_39,unmarried,all,14424.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,38,35_39,married,all,27609.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,38,35_39,unmarried,all,14424.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,39,35_39,married,all,27609.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,39,35_39,unmarried,all,14424.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,40,40_44,married,all,25301.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,40,40_44,unmarried,all,13931.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,41,40_44,married,all,25301.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,41,40_44,unmarried,all,13931.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,42,40_44,married,all,25301.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,42,40_44,unmarried,all,13931.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,43,40_44,married,all,25301.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,43,40_44,unmarried,all,13931.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,44,40_44,married,all,25301.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,44,40_44,unmarried,all,13931.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,15,15_17,married,all,99.33333333333333,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,15,15_17,unmarried,all,19834.666666666668,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,16,15_17,married,all,99.33333333333333,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,16,15_17,unmarried,all,19834.666666666668,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,17,15_17,married,all,99.33333333333333,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,17,15_17,unmarried,all,19834.666666666668,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,18,18_19,married,all,1766.5,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,18,18_19,unmarried,all,20197.5,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,19,18_19,married,all,1766.5,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,19,18_19,unmarried,all,20197.5,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,20,20_24,married,all,5164.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,20,20_24,unmarried,all,15015.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,21,20_24,married,all,5164.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,21,20_24,unmarried,all,15015.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,22,20_24,married,all,5164.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,22,20_24,unmarried,all,15015.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,23,20_24,married,all,5164.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,23,20_24,unmarried,all,15015.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,24,20_24,married,all,5164.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,24,20_24,unmarried,all,15015.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,25,25_29,married,all,9633.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,25,25_29,unmarried,all,8932.4,Census ACS1 B12002,uniform_within_band
