country,year,age,marital,parity,weight,source
United States,2011,21,unmarried,second,29426.82779270685,NSFG 2017-2019 FemPreg weighted
United States,2011,22,unmarried,second,6491.30780859701,NSFG 2017-2019 FemPreg weighted
United States,2011,23,unmarried,second,22509.43423021589,NSFG 2017-2019 FemPreg weighted
United States,2011,24,unmarried,second,28794.816986415237,NSFG 2017-2019 FemPreg weighted
United States,2011,25,unmarried,second,87209.6855779551,NSFG 2017-2019 FemPreg weighted
United States,2011,26,unmarried,second,66448.74376029798,NSFG 2017-2019 FemPreg weighted
United States,2011,27,unmarried,second,13011.84385051714,NSFG 2017-2019 FemPreg weighted
United States,2011,28,unmarried,second,2938.58019080298,NSFG 2017-2019 FemPreg weighted
United States,2011,29,unmarried,second,30326.6954619391,NSFG 2017-2019 FemPreg weighted
United States,2011,31,unmarried,second,26455.84001752467,NSFG 2017-2019 FemPreg weighted
United States,2011,32,unmarried,second,7804.92850685247,NSFG 2017-2019 FemPreg weighted
United States,2011,35,unmarried,second,2466.05037875574,NSFG 2017-2019 FemPreg weighted
United States,2011,36,unmarried,second,4945.86063310699,NSFG 2017-2019 FemPreg weighted
United States,2011,40,unmarried,second,6449.25084907535,NSFG 2017-2019 FemPreg weighted
United States,2011,20,unmarried,third_plus,2575.86117219703,NSFG 2017-2019 FemPreg weighted
United States,2011,21,unmarried,third_plus,21845.32734897754,NSFG 2017-2019 FemPreg weighted
United States,2011,22,unmarried,third_plus,26939.97656812022,NSFG 2017-2019 FemPreg weighted
United States,2011,23,unmarried,third_plus,14715.89459265193,NSFG 2017-2019 FemPreg weighted
United States,2011,24,unmarried,third_plus,3076.00958630591,NSFG 2017-2019 FemPreg weighted
United States,2011,25,unmarried,third_plus,1340.862,NSFG 2017-2019 FemPreg weighted
United States,2011,26,unmarried,third_plus,18370.828310661353,NSFG 2017-2019 FemPreg weighted
United States,2011,27,unmarried,third_plus,13200.59008373081,NSFG 2017-2019 FemPreg weighted
United States,2011,28,unmarried,third_plus,50440.95077746631,NSFG 2017-2019 FemPreg weighted
United States,2011,29,unmarried,third_plus,13719.05332987084,NSFG 2017-2019 FemPreg weighted
United States,2011,30,unmarried,third_plus,1822.44807985761,NSFG 2017-2019 FemPreg weighted
United States,2011,31,unmarried,third_plus,24620.82029213187,NSFG 2017-2019 FemPreg weighted
United States,2011,33,unmarried,third_plus,7151.94002567202,NSFG 2017-2019 FemPreg weighted
United States,2011,36,unmarried,third_plus,4053.73531440047,NSFG 2017-2019 FemPreg weighted
United States,2011,37,unmarried,third_plus,17855.79370329608,NSFG 2017-2019 FemPreg weighted
