entity,state,year,female_15_44,source_url
Georgia,13,2011,2067629,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2012,2078223,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2013,2081959,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2014,2091522,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2015,2104203,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2016,2120722,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2017,2134594,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2018,2149822,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2019,2170880,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Georgia,13,2020,2188464,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Georgia,13,2021,2211968,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Hawaii,15,2007,249589,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Hawaii,15,2008,249426,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Hawaii,15,2009,249213,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Hawaii,15,2010,256943,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2011,258623,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2012,260194,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2013,260955,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2014,259973,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2015,259467,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2016,259581,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2017,258277,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2018,257143,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2019,255741,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Hawaii,15,2020,260386,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Hawaii,15,2021,257043,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Idaho,16,2007,301527,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Idaho,16,2008,305024,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Idaho,16,2009,306453,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Idaho,16,2010,305827,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2011,307549,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2012,308769,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2013,310808,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2014,313669,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2015,316630,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2016,322931,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2017,329919,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2018,336694,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2019,344225,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Idaho,16,2020,356448,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Idaho,16,2021,368813,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Illinois,17,2007,2661051,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Illinois,17,2008,2653002,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Illinois,17,2009,2646520,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Illinois,17,2010,2624134,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2011,2617791,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2012,2609351,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2013,2601261,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2014,2588205,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2015,2567845,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2016,2543194,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2017,2523054,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2018,2504925,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2019,2491212,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Illinois,17,2020,2509076,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Illinois,17,2021,2487384,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Indiana,18,2007,1289608,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Indiana,18,2008,1286928,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Indiana,18,2009,1281738,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Indiana,18,2010,1286994,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2011,1287251,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2012,1286985,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2013,1291398,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2014,1293763,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2015,1291965,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2016,1292701,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2017,1294328,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2018,1301847,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2019,1310119,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Indiana,18,2020,1318746,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Indiana,18,2021,1328051,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Iowa,19,2007,581795,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Iowa,19,2008,579635,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Iowa,19,2009,577743,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Iowa,19,2010,576835,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2011,579227,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2012,580355,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2013,584234,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2014,587004,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2015,588341,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2016,589130,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2017,590894,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2018,592377,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2019,594026,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Iowa,19,2020,602420,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Iowa,19,2021,606309,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Alaska,02,2007,143502,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Alaska,02,2008,142587,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Alaska,02,2009,144562,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Alaska,02,2010,140950,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2011,142513,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2012,143564,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2013,144566,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2014,144107,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2015,143658,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2016,144035,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2017,143412,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2018,142216,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2019,141373,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Alaska,02,2020,141056,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Alaska,02,2021,141381,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Kansas,20,2007,555066,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Kansas,20,2008,553596,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Kansas,20,2009,553980,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Kansas,20,2010,553099,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2011,553769,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
