country,year,sex,age,population
United States,2021,F,78,1145045.0
United States,2021,F,79,981598.0
United States,2021,F,80,884926.0
United States,2021,F,81,811821.0
United States,2021,F,82,748380.0
United States,2021,F,83,697725.0
United States,2021,F,84,621770.0
United States,2021,F,85,569824.0
United States,2021,F,86,526822.0
United States,2021,F,87,448085.0
United States,2021,F,88,411330.0
United States,2021,F,89,369415.0
United States,2021,F,90,328520.0
United States,2021,F,91,291590.0
United States,2021,F,92,240415.0
United States,2021,F,93,204865.0
United States,2021,F,94,167898.0
United States,2021,F,95,131107.0
United States,2021,F,96,103432.0
United States,2021,F,97,77102.0
United States,2021,F,98,55534.0
United States,2021,F,99,38226.0
United States,2021,F,100,65656.0
