entity,code,year,indicator,value
India,IND,1999,SP.POP.65UP.MA.IN,21283275.0
India,IND,2000,SP.POP.0014.FE.IN,179742660.0
India,IND,2000,SP.POP.0014.MA.IN,196381490.0
India,IND,2000,SP.POP.1564.FE.IN,306168114.0
India,IND,2000,SP.POP.1564.MA.IN,328969862.0
India,IND,2000,SP.POP.65UP.FE.IN,24758525.0
India,IND,2000,SP.POP.65UP.MA.IN,21902083.0
India,IND,2001,SP.POP.0014.FE.IN,181039306.0
India,IND,2001,SP.POP.0014.MA.IN,198020889.0
India,IND,2001,SP.POP.1564.FE.IN,313666863.0
India,IND,2001,SP.POP.1564.MA.IN,337083397.0
India,IND,2001,SP.POP.65UP.FE.IN,25547324.0
India,IND,2001,SP.POP.65UP.MA.IN,22540796.0
India,IND,2002,SP.POP.0014.FE.IN,182230376.0
India,IND,2002,SP.POP.0014.MA.IN,199517793.0
India,IND,2002,SP.POP.1564.FE.IN,321128980.0
India,IND,2002,SP.POP.1564.MA.IN,345152566.0
India,IND,2002,SP.POP.65UP.FE.IN,26367963.0
India,IND,2002,SP.POP.65UP.MA.IN,23202702.0
India,IND,2003,SP.POP.0014.FE.IN,183245891.0
India,IND,2003,SP.POP.0014.MA.IN,200822739.0
India,IND,2003,SP.POP.1564.FE.IN,328525527.0
India,IND,2003,SP.POP.1564.MA.IN,353133351.0
India,IND,2003,SP.POP.65UP.FE.IN,27201620.0
India,IND,2003,SP.POP.65UP.MA.IN,23873877.0
India,IND,2004,SP.POP.0014.FE.IN,184065853.0
India,IND,2004,SP.POP.0014.MA.IN,201945252.0
India,IND,2004,SP.POP.1564.FE.IN,336144349.0
India,IND,2004,SP.POP.1564.MA.IN,361284834.0
India,IND,2004,SP.POP.65UP.FE.IN,28015845.0
India,IND,2004,SP.POP.65UP.MA.IN,24535380.0
India,IND,2005,SP.POP.0014.FE.IN,184681984.0
India,IND,2005,SP.POP.0014.MA.IN,202849555.0
India,IND,2005,SP.POP.1564.FE.IN,343770236.0
India,IND,2005,SP.POP.1564.MA.IN,369397181.0
India,IND,2005,SP.POP.65UP.FE.IN,28797908.0
India,IND,2005,SP.POP.65UP.MA.IN,25179459.0
India,IND,2006,SP.POP.0014.FE.IN,185083059.0
India,IND,2006,SP.POP.0014.MA.IN,203475908.0
India,IND,2006,SP.POP.1564.FE.IN,351415759.0
India,IND,2006,SP.POP.1564.MA.IN,377522006.0
India,IND,2006,SP.POP.65UP.FE.IN,29564084.0
India,IND,2006,SP.POP.65UP.MA.IN,25818074.0
India,IND,2007,SP.POP.0014.FE.IN,185292481.0
India,IND,2007,SP.POP.0014.MA.IN,203848176.0
India,IND,2007,SP.POP.1564.FE.IN,359075982.0
India,IND,2007,SP.POP.1564.MA.IN,385664095.0
India,IND,2007,SP.POP.65UP.FE.IN,30329988.0
India,IND,2007,SP.POP.65UP.MA.IN,26465299.0
India,IND,2008,SP.POP.0014.FE.IN,185383966.0
India,IND,2008,SP.POP.0014.MA.IN,204058267.0
India,IND,2008,SP.POP.1564.FE.IN,366582809.0
India,IND,2008,SP.POP.1564.MA.IN,393658536.0
India,IND,2008,SP.POP.65UP.FE.IN,31112422.0
India,IND,2008,SP.POP.65UP.MA.IN,27134963.0
India,IND,2009,SP.POP.0014.FE.IN,185468272.0
India,IND,2009,SP.POP.0014.MA.IN,204215370.0
India,IND,2009,SP.POP.1564.FE.IN,374234147.0
India,IND,2009,SP.POP.1564.MA.IN,401824712.0
India,IND,2009,SP.POP.65UP.FE.IN,31935130.0
India,IND,2009,SP.POP.65UP.MA.IN,27847122.0
India,IND,2010,SP.POP.0014.FE.IN,185486061.0
