year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share,below_deadline_share,occupational_persistence_rate,precarious_inheritance_rate,fertility_realization_gap,political_occupation_share,medical_occupation_share,precarious_occupation_share,unemployment_rate,injury_rate,homeownership_rate,licensed_physician_share,state_sector_share,political_dynasty_share,faction_concentration,elite_marriage_share
1979,CHN,晚、稀、少,1551,311,300,11,1,0,2.6923,3.6724,0.08,0.00456,28.5049,0.0,0.42005,0.42857,0.375,1.50334,0.0,0.01976,0.1383,0.04559,0.02128,0.53376,0.01976,0.10182,0.0,0,0.0
1979,IND,国家家庭福利/计划生育项目（简化）,1680,306,300,16,1,8,3.1228,2.1892,0.0,0.00296,25.9622,0.0,0.25424,0.33721,0.1875,1.52611,0.0,0.02963,0.13926,0.06074,0.03111,0.7451,0.02963,0.12444,0.0,0,0.0
1979,JPN,无专项生育限制,416,129,120,3,0,5,1.4062,39.5194,0.0,0.03774,192.8652,0.0,0.06306,0.4375,0.0,0.24301,0.0,0.05283,0.0717,0.04151,0.01509,0.5814,0.05283,0.16981,0.0,0,0.0155
1979,USA,无专项生育限制,697,204,200,1,1,3,1.234,32.6791,0.2,0.03073,214.2387,0.0,0.14085,0.23077,0.33333,0.25699,0.0,0.0331,0.0922,0.04728,0.01891,0.60294,0.0331,0.14184,0.0,0,0.0
1980,CHN,独生子女为主（含例外）,1554,314,300,5,2,0,2.8873,3.5364,0.125,0.00727,24.335,0.0,0.43014,0.43137,0.28571,1.49939,0.0,0.0189,0.13227,0.04651,0.02471,0.53503,0.0189,0.1032,0.0,0,0.0
1980,IND,国家家庭福利/计划生育项目（简化）,1693,313,300,14,3,2,3.2,2.1147,0.15625,0.00282,22.2417,0.0,0.27954,0.38136,0.36,1.55652,0.00141,0.02825,0.14548,0.0678,0.03107,0.7476,0.02825,0.12006,0.0,0,0.0
1980,JPN,无专项生育限制,418,131,120,2,0,0,1.3611,38.4419,0.0,0.03358,197.0044,0.0,0.06061,0.42105,0.0,0.23796,0.0,0.05224,0.07463,0.02985,0.01866,0.58779,0.05224,0.16791,0.0,0,0.01527
1980,USA,无专项生育限制,697,210,200,2,0,2,1.4091,33.4009,0.1,0.03016,205.7005,0.0,0.15306,0.27778,0.5,0.27117,0.0,0.03248,0.09745,0.04176,0.01856,0.60476,0.03248,0.14385,0.0,0,0.00481
1981,CHN,独生子女为主（含例外）,1557,324,300,6,3,0,2.9222,3.4506,0.18519,0.00699,21.4928,0.0,0.43605,0.3876,0.23077,1.57147,0.0,0.01818,0.13007,0.04895,0.03217,0.53395,0.01818,0.10909,0.0,0,0.00318
1981,IND,国家家庭福利/计划生育项目（简化）,1709,322,300,17,1,0,3.2188,2.0278,0.10714,0.00272,19.582,0.0,0.29706,0.39041,0.33333,1.60393,0.00136,0.02721,0.14014,0.06531,0.03129,0.75155,0.02721,0.12517,0.0,0,0.0
1981,JPN,无专项生育限制,419,134,120,2,1,0,1.383,39.2476,0.2,0.03901,190.0285,0.0,0.10784,0.41176,0.28571,0.2537,0.0,0.04965,0.07801,0.04255,0.01773,0.58209,0.04965,0.15957,0.0,0,0.01504
1981,USA,无专项生育限制,700,216,200,4,1,0,1.4416,34.11,0.0,0.02915,204.478,0.0,0.17045,0.35294,0.57143,0.28181,0.0,0.03139,0.09641,0.03812,0.02018,0.60648,0.03139,0.15471,0.0,0,0.00467
1982,CHN,独生子女为主（含例外）,1561,333,300,6,2,0,2.9817,3.4193,0.15556,0.00659,19.1407,0.0,0.47293,0.39655,0.26316,1.62237,0.0,0.01713,0.12648,0.06061,0.03426,0.53453,0.01713,0.11067,0.0,0,0.00311
1982,IND,国家家庭福利/计划生育项目（简化）,1725,330,300,18,2,0,3.3033,2.0045,0.16327,0.00255,18.6353,0.0,0.32286,0.34872,0.29268,1.63186,0.00128,0.02554,0.14176,0.05619,0.03193,0.74848,0.02554,0.12899,0.0,0,0.0
1982,JPN,无专项生育限制,419,138,120,0,0,0,1.431,40.3713,0.09091,0.03754,192.394,0.0,0.11111,0.42222,0.375,0.26809,0.0,0.04778,0.0785,0.04778,0.02048,0.5942,0.04778,0.157,0.0,0,0.0146
1982,USA,无专项生育限制,702,217,200,2,0,0,1.4884,34.5815,0.0,0.02845,202.3696,0.0,0.18519,0.32258,0.55556,0.27764,0.0,0.03063,0.09847,0.03282,0.02188,0.60369,0.03063,0.15536,0.0,0,0.00465
1983,CHN,独生子女为主（含例外）,1566,346,300,7,2,0,3.0229,3.4269,0.08108,0.00629,18.7195,0.0,0.49568,0.4218,0.34043,1.69485,0.0,0.01635,0.13459,0.05283,0.03648,0.53757,0.01635,0.11572,0.0,0,0.00299
1983,IND,国家家庭福利/计划生育项目（简化）,1740,349,300,17,2,0,3.3776,1.9812,0.13889,0.00367,15.615,0.0,0.317,0.35931,0.34043,1.77513,0.00122,0.02445,0.1357,0.06357,0.03178,0.74212,0.02445,0.13325,0.0,0,0.0
1983,JPN,无专项生育限制,421,140,120,2,0,0,1.3803,40.8263,0.09091,0.03618,192.9819,0.0,0.11579,0.375,0.375,0.26366,0.0,0.04605,0.08553,0.06579,0.01974,0.6,0.04605,0.16447,0.0,0,0.01439
1983,USA,无专项生育限制,705,226,200,4,1,0,1.4792,35.4841,0.06667,0.02972,203.7379,0.0,0.16774,0.33766,0.5,0.28995,0.0,0.02972,0.09979,0.03822,0.02548,0.61504,0.02972,0.15287,0.0,0,0.00448
1984,CHN,独生子女为主（含例外）,1574,358,300,11,3,0,3.0816,3.4032,0.2449,0.00593,19.5111,0.0,0.51247,0.43077,0.33333,1.74921,0.0,0.01542,0.13998,0.06762,0.03559,0.5419,0.01542,0.11981,0.0,0,0.0029
1984,IND,国家家庭福利/计划生育项目（简化）,1760,362,300,22,2,0,3.5179,1.9629,0.1087,0.00348,12.1202,0.0,0.3388,0.35018,0.31579,1.838,0.00116,0.02317,0.13441,0.073,0.0336,0.73481,0.02317,0.13557,0.0,0,0.0
1984,JPN,无专项生育限制,426,148,120,6,1,0,1.4557,42.2029,0.18182,0.0381,183.778,0.0,0.13402,0.34328,0.33333,0.28547,0.0,0.04444,0.09524,0.03175,0.02222,0.59459,0.04444,0.15873,0.0,0,0.01361
1984,USA,无专项生育限制,707,230,200,3,1,0,1.4865,36.3066,0.14286,0.03049,196.7752,0.0,0.17949,0.32653,0.41667,0.29432,0.0,0.02846,0.09553,0.05488,0.03252,0.61304,0.02846,0.14837,0.0,0,0.00441
1985,CHN,独生子女为主（含例外）,1584,380,300,10,0,0,3.1479,3.4299,0.2449,0.00673,19.6597,0.0,0.504,0.40777,0.30882,1.86871,0.0,0.0157,0.13677,0.04709,0.03924,0.54737,0.0157,0.12444,0.0,0,0.00272
1985,IND,国家家庭福利/计划生育项目（简化）,1774,376,300,26,3,9,3.5385,1.9804,0.17647,0.0033,10.859,0.0,0.38243,0.34451,0.32432,1.90019,0.0011,0.02203,0.13436,0.06498,0.03524,0.72872,0.02203,0.13656,0.0,0,0.0
